sex,age,age_cat,race,decile_score,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_charge_degree,is_recid,decile_score,score_text,two_year_recid
Male,69,Greater than 45,Other,1,0,-1,2013-08-13 6:03,2013-08-14 5:41,F,0,1,Low,0
Male,34,25 - 45,African-American,3,0,-1,2013-01-26 3:45,2013-02-05 5:36,F,1,3,Low,1
Male,24,Less than 25,African-American,4,4,-1,2013-04-13 4:58,2013-04-14 7:02,F,1,4,Low,1
Male,23,Less than 25,African-American,8,1,,,,F,0,8,High,0
Male,43,25 - 45,Other,1,2,,,,F,0,1,Low,0
Male,44,25 - 45,Other,1,0,0,2013-11-30 4:50,2013-12-01 12:28,M,0,1,Low,0
Male,41,25 - 45,Caucasian,6,14,-1,2014-02-18 5:08,2014-02-24 12:18,F,1,6,Medium,1
Male,43,25 - 45,Other,4,3,-1,2013-08-29 8:55,2013-08-30 8:42,F,0,4,Low,0
Female,39,25 - 45,Caucasian,1,0,-1,2014-03-15 5:35,2014-03-18 4:28,M,0,1,Low,0
Male,21,Less than 25,Caucasian,3,1,428,2015-01-06 3:55,2015-01-07 3:38,F,1,3,Low,1
Male,27,25 - 45,Caucasian,4,0,-1,2013-11-25 6:31,2013-11-26 8:26,F,0,4,Low,0
Male,23,Less than 25,African-American,6,3,0,2013-10-03 4:07,2013-10-07 8:17,M,1,6,Medium,1
Female,37,25 - 45,Caucasian,1,0,0,2013-01-01 3:28,2013-01-02 1:12,M,0,1,Low,0
Male,41,25 - 45,African-American,4,0,-1,2013-10-08 11:53,2013-10-09 2:16,F,0,4,Low,0
Female,47,Greater than 45,Caucasian,1,1,-20,2013-10-10 5:12,2013-10-24 11:30,F,1,1,Low,1
Male,31,25 - 45,African-American,3,7,22,2014-06-25 2:15,2014-06-28 5:02,F,1,3,Low,1
Male,37,25 - 45,Hispanic,1,0,0,2014-03-24 3:20,2014-03-24 9:09,M,0,1,Low,0
Male,25,25 - 45,African-American,10,3,-1,2013-12-21 5:42,2013-12-22 9:11,F,0,10,High,0
Male,31,25 - 45,Caucasian,5,6,-1,2013-11-16 7:12,2013-11-17 8:28,F,1,5,Medium,1
Male,31,25 - 45,Caucasian,3,5,-1,2014-11-14 1:37,2014-11-15 4:57,F,1,3,Low,1
Male,64,Greater than 45,African-American,6,13,-1,2014-05-01 6:49,2014-05-02 9:28,F,1,6,Medium,1
Male,21,Less than 25,African-American,9,1,-1,2013-04-17 1:40,2013-04-20 4:19,F,1,9,High,1
Male,27,25 - 45,Caucasian,2,0,0,2014-10-16 5:43,2014-10-16 12:40,M,1,2,Low,1
Female,21,Less than 25,Caucasian,4,0,-2,2013-11-20 4:12,2013-11-21 7:53,F,0,4,Low,0
Male,24,Less than 25,Hispanic,4,1,0,2013-02-08 4:50,2013-02-09 4:43,F,1,4,Low,1
